AT1G01470,involved in,response to desiccation,GO:0009269,P,response to chemical,
AT1G01470,located in,cytosol,GO:0005829,C,cytosol,
AT1G01470,has,molecular_function,GO:0003674,F,unknown molecular functions,
AT1G01470,involved in,response to wounding,GO:0009611,P,response to stress,
AT1G01470,involved in,response to high light intensity,GO:0009644,P,response to light stimulus,
AT1G01470,involved in,defense response to fungus,GO:0050832,P,response to stress,
AT1G01470,involved in,response to desiccation,GO:0009269,P,response to stress,
AT1G01470,located in,cytosol,GO:0005829,C,cytosol,
AT1G01470,involved in,defense response to fungus,GO:0050832,P,response to external stimulus,
AT1G01470,has,molecular_function,GO:0003674,F,unknown molecular functions,
AT1G01470,involved in,response to desiccation,GO:0009269,P,response to abiotic stimulus,
AT1G01470,located in,cytosol,GO:0005829,C,cytosol,
AT1G01470,involved in,defense response to fungus,GO:0050832,P,response to biotic stimulus,
AT1G01610,located in,integral component of membrane,GO:0016021,C,other membranes,
AT1G01610,has,sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity,GO:0102419,F,transferase activity,
AT1G01610,involved in,cutin biosynthetic process,GO:0010143,P,biosynthetic process,
AT1G01610,involved in,phospholipid biosynthetic process,GO:0008654,P,other metabolic processes,
AT1G01610,involved in,phospholipid biosynthetic process,GO:0008654,P,biosynthetic process,
AT1G01610,involved in,phospholipid biosynthetic process,GO:0008654,P,other cellular processes,
AT1G01610,has,phosphatase activity,GO:0016791,F,hydrolase activity,
AT1G01610,involved in,phospholipid biosynthetic process,GO:0008654,P,lipid metabolic process,
AT1G01610,involved in,cutin biosynthetic process,GO:0010143,P,other metabolic processes,
AT1G01610,has,glycerol-3-phosphate 2-O-acyltransferase activity,GO:0090447,F,transferase activity,
AT1G01610,involved in,cutin biosynthetic process,GO:0010143,P,other metabolic processes,
AT1G01610,located in,membrane,GO:0016020,C,other membranes,
AT1G01610,located in,chloroplast,GO:0009507,C,chloroplast,
AT1G01610,has,phosphatase activity,GO:0016791,F,hydrolase activity,
AT1G01610,involved in,cutin biosynthetic process,GO:0010143,P,biosynthetic process,
AT1G01610,has,glycerol-3-phosphate 2-O-acyltransferase activity,GO:0090447,F,transferase activity,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,multicellular organism development,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,cellular component organization,
AT1G02050,involved in,flavonoid biosynthetic process,GO:0009813,P,biosynthetic process,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,cellular component organization,
AT1G02050,located in,endoplasmic reticulum,GO:0005783,C,endoplasmic reticulum,
AT1G02050,involved in,polyketide biosynthetic process,GO:0030639,P,other metabolic processes,
AT1G02050,involved in,flavonoid biosynthetic process,GO:0009813,P,other metabolic processes,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,multicellular organism development,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,cellular component organization,
AT1G02050,has,protein binding,GO:0005515,F,protein binding,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,other cellular processes,
AT1G02050,involved in,polyketide biosynthetic process,GO:0030639,P,biosynthetic process,
AT1G02050,has,tetraketide alpha-pyrone synthase activity,GO:0090439,F,transferase activity,
AT1G02050,involved in,polyketide biosynthetic process,GO:0030639,P,secondary metabolic process,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,anatomical structure development,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,other cellular processes,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,anatomical structure development,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,anatomical structure development,
AT1G02050,located in,cytoplasm,GO:0005737,C,cytoplasm,
AT1G02050,has,protein binding,GO:0005515,F,protein binding,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,cellular component organization,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,anatomical structure development,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,other metabolic processes,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,multicellular organism development,
AT1G02050,located in,endoplasmic reticulum,GO:0005783,C,endoplasmic reticulum,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,multicellular organism development,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,other cellular processes,
AT1G02050,involved in,sporopollenin biosynthetic process,GO:0080110,P,biosynthetic process,
AT1G02050,involved in,pollen exine formation,GO:0010584,P,other cellular processes,
AT1G02660,involved in,positive regulation of defense response,GO:0031349,P,response to stress,
AT1G02660,located in,chloroplast,GO:0009507,C,chloroplast,
AT1G02660,involved in,defense response to insect,GO:0002213,P,response to biotic stimulus,
AT1G02660,involved in,response to abiotic stimulus,GO:0009628,P,response to abiotic stimulus,
AT1G02660,involved in,defense response to insect,GO:0002213,P,response to stress,
AT1G02660,located in,extracellular region,GO:0005576,C,extracellular region,
AT1G02660,has,galactolipase activity,GO:0047714,F,hydrolase activity,
AT1G02660,located in,chloroplast,GO:0009507,C,chloroplast,
AT1G02660,involved in,defense response to insect,GO:0002213,P,response to external stimulus,
AT1G02920,located in,cytoplasm,GO:0005737,C,cytoplasm,
AT1G02920,functions in,cobalt ion binding,GO:0050897,F,other binding,
AT1G02920,involved in,defense response to bacterium,GO:0042742,P,response to external stimulus,
AT1G02920,involved in,"defense response to fungus, incompatible interaction",GO:0009817,P,response to biotic stimulus,
AT1G02920,involved in,"defense response to fungus, incompatible interaction",GO:0009817,P,response to external stimulus,
AT1G02920,involved in,toxin catabolic process,GO:0009407,P,other metabolic processes,
AT1G02920,located in,chloroplast,GO:0009507,C,chloroplast,
AT1G02920,involved in,glutathione metabolic process,GO:0006749,P,other metabolic processes,
AT1G02920,involved in,"defense response to fungus, incompatible interaction",GO:0009817,P,response to stress,
AT1G02920,located in,nucleus,GO:0005634,C,nucleus,
AT1G02920,involved in,response to cadmium ion,GO:0046686,P,response to chemical,
AT1G02920,involved in,toxin catabolic process,GO:0009407,P,secondary metabolic process,
AT1G02920,involved in,toxin catabolic process,GO:0009407,P,catabolic process,
AT1G02920,involved in,glutathione metabolic process,GO:0006749,P,other cellular processes,
AT1G02920,located in,cytoplasm,GO:0005737,C,cytoplasm,
AT1G02920,involved in,defense response to bacterium,GO:0042742,P,response to biotic stimulus,
AT1G02920,involved in,toxin catabolic process,GO:0009407,P,other cellular processes,
AT1G02920,involved in,toxin catabolic process,GO:0009407,P,response to chemical,
AT1G02920,has,glutathione transferase activity,GO:0004364,F,transferase activity,
AT1G02920,involved in,defense response to bacterium,GO:0042742,P,response to stress,
AT1G02920,has,glutathione binding,GO:0043295,F,other binding,
AT1G02920,located in,cytosol,GO:0005829,C,cytosol,
AT1G02920,located in,vacuole,GO:0005773,C,vacuole,
AT1G02920,located in,extracellular region,GO:0005576,C,extracellular region,
AT1G02920,functions in,copper ion binding,GO:0005507,F,other binding,
AT1G02920,located in,cytoplasm,GO:0005737,C,cytoplasm,
AT1G02920,involved in,response to cadmium ion,GO:0046686,P,response to chemical,
AT1G02920,functions in,glutathione binding,GO:0043295,F,other binding,
AT1G03495,has,"transferase activity, transferring acyl groups other than amino-acyl groups",GO:0016747,F,transferase activity,
AT1G03495,located in,cytoplasm,GO:0005737,C,cytoplasm,
AT1G03780,located in,nucleus,GO:0005634,C,nucleus,
AT1G03780,located in,microtubule,GO:0005874,C,other intracellular components,
AT1G03780,involved in,spindle assembly,GO:0051225,P,cellular component organization,
AT1G03780,involved in,spindle assembly,GO:0051225,P,cell cycle,
AT1G03780,located in,chloroplast envelope,GO:0009941,C,cytoplasm,
AT1G03780,located in,chloroplast envelope,GO:0009941,C,chloroplast,
AT1G03780,involved in,spindle assembly,GO:0051225,P,other cellular processes,
AT1G03780,located in,chloroplast envelope,GO:0009941,C,other intracellular components,
AT1G03780,located in,chloroplast envelope,GO:0009941,C,plastid,
AT1G03780,located in,microtubule,GO:0005874,C,cytoskeleton,
AT1G03780,located in,nucleus,GO:0005634,C,nucleus,
AT1G03780,located in,nucleus,GO:0005634,C,nucleus,
AT1G03780,located in,nucleus,GO:0005634,C,nucleus,
AT1G03780,functions in,microtubule binding,GO:0008017,F,protein binding,
AT1G04110,located in,external side of plasma membrane,GO:0009897,C,other membranes,
AT1G04110,involved in,regulation of cell population proliferation,GO:0042127,P,other cellular processes,
AT1G04110,has,serine-type endopeptidase activity,GO:0004252,F,catalytic activity,
AT1G04110,involved in,stomatal complex morphogenesis,GO:0010103,P,multicellular organism development,
AT1G04110,located in,apoplast,GO:0048046,C,extracellular region,
AT1G04110,involved in,stomatal complex morphogenesis,GO:0010103,P,anatomical structure development,
AT1G04110,located in,external side of plasma membrane,GO:0009897,C,plasma membrane,
AT1G04110,involved in,proteolysis,GO:0006508,P,protein metabolic process,
AT1G04110,involved in,stomatal complex morphogenesis,GO:0010103,P,post-embryonic development,
AT1G04110,located in,extracellular region,GO:0005576,C,extracellular region,
